seed,condition,layer,factor,k,conflict_n,counterfactual_follow,random_follow,target_probe_transfer,offtarget_probe_stability,world_prediction_stability,policy_change_rate,cf_policy_change_rate
16122,unified_behavior_only,2,concern,4,191,1.0,0.0,0.9783333333333334,0.965,1.0,0.3183333333333333,0.3183333333333333
16122,unified_behavior_only,2,concern,8,191,1.0,0.0,0.9833333333333332,0.97,1.0,0.3183333333333333,0.3183333333333333
16122,unified_behavior_only,2,concern,16,191,1.0,0.0,0.9916666666666668,0.9608333333333334,1.0,0.3183333333333333,0.3183333333333333
16120,unified_multitask,2,identity,1,278,0.1726618705035971,0.0,0.0,1.0,1.0,0.0966666666666666,0.4633333333333333
16120,unified_multitask,2,identity,2,278,0.8812949640287769,0.0,0.0,1.0,0.9977777777777778,0.415,0.4633333333333333
16120,unified_multitask,2,identity,4,278,1.0,0.0,0.0033333333333333,1.0,0.9983333333333332,0.4633333333333333,0.4633333333333333
16120,unified_multitask,2,identity,8,278,1.0,0.0,1.0,1.0,0.9933333333333332,0.4633333333333333,0.4633333333333333
16120,unified_multitask,2,identity,16,278,1.0,0.0,1.0,1.0,1.0,0.4633333333333333,0.4633333333333333
16120,unified_multitask,2,beneficiary,1,349,0.1919770773638968,0.0,0.0,1.0,1.0,0.1533333333333333,0.5816666666666667
16120,unified_multitask,2,beneficiary,2,349,0.5616045845272206,0.0,0.01,1.0,0.9816666666666668,0.3916666666666666,0.5816666666666667
16120,unified_multitask,2,beneficiary,4,349,1.0,0.0,0.25,1.0,0.9872222222222222,0.5816666666666667,0.5816666666666667
16120,unified_multitask,2,beneficiary,8,349,1.0,0.0,1.0,1.0,1.0,0.5816666666666667,0.5816666666666667
16120,unified_multitask,2,beneficiary,16,349,1.0,0.0,1.0,1.0,1.0,0.5816666666666667,0.5816666666666667
16120,unified_multitask,2,concern,1,192,0.453125,0.0,0.0,1.0,1.0,0.1566666666666666,0.32
16120,unified_multitask,2,concern,2,192,0.9635416666666666,0.0,0.0,1.0,1.0,0.3083333333333333,0.32
16120,unified_multitask,2,concern,4,192,1.0,0.0,0.0,1.0,0.9991666666666666,0.32,0.32
16120,unified_multitask,2,concern,8,192,1.0,0.0,1.0,1.0,1.0,0.32,0.32
16120,unified_multitask,2,concern,16,192,1.0,0.0,1.0,1.0,1.0,0.32,0.32
