seed,rule_mode,kind,target,phase,state_idx,patch,conflict_n,base_gt_acc,cf_gt_acc,policy_follow_cf,policy_follow_cf_model,target_policy_change,non_target_policy_change,outcome_diff_n,outcome_closer_cf,outcome_mediation,model_output_shift,cf_model_gap
16215,packed,factor,identity,0,0,random_norm_relation_token,910,0.9725275039672852,0.9626374244689941,0.25934067368507385,0.2725274860858917,0.2616666853427887,0.02250000089406967,910,0.7461538910865784,0.23616506159305573,0.1437552273273468,0.39334017038345337
16215,packed,factor,beneficiary,1,0,matched_relation_token,871,0.8151549696922302,0.8323765397071838,0.8323765397071838,1.0,0.6500000357627869,0.05277777835726738,704,0.671875,0.017035864293575287,0.15509098768234253,0.15509098768234253
16215,packed,factor,beneficiary,1,0,random_norm_relation_token,871,0.8151549696922302,0.8323765397071838,0.1882893145084381,0.24339838325977325,0.2058333456516266,0.038333334028720856,704,0.4573863744735718,-0.180350199341774,0.06696740537881851,0.15509098768234253
16215,packed,factor,concern,2,0,matched_relation_token,879,0.9237769842147827,0.9215016961097717,0.9215016961097717,0.9999999403953552,0.7950000166893005,0.061944447457790375,695,0.8129496574401855,0.31451788544654846,0.17543652653694153,0.17543652653694153
16215,packed,factor,concern,2,0,random_norm_relation_token,879,0.9237769842147827,0.9215016961097717,0.07394766807556152,0.08191125839948654,0.0833333358168602,0.012777778320014477,695,0.5712230205535889,0.012172211892902851,0.04752223938703537,0.17543652653694153
16216,packed,factor,identity,0,0,matched_relation_token,914,0.9824945330619812,0.9835886359214783,0.9835886359214783,1.0,0.7433333396911621,0.1455555558204651,914,0.9901531934738159,0.8834838271141052,0.43439239263534546,0.43439239263534546
16216,packed,factor,identity,0,0,random_norm_relation_token,914,0.9824945330619812,0.9835886359214783,0.2177242934703827,0.21225383877754211,0.23750001192092896,0.08916667103767395,914,0.7494529485702515,0.2260068655014038,0.13528099656105042,0.43439239263534546
16216,packed,factor,beneficiary,1,0,matched_relation_token,867,0.9607842564582825,0.9607842564582825,0.9607842564582825,0.9999999403953552,0.7083333730697632,0.17027778923511505,704,0.855113685131073,0.36190250515937805,0.14054937660694122,0.14054937660694122
16216,packed,factor,beneficiary,1,0,random_norm_relation_token,867,0.9607842564582825,0.9607842564582825,0.2895040214061737,0.29527103900909424,0.23000000417232513,0.08972222357988358,704,0.6292613744735718,0.08248528838157654,0.059102531522512436,0.14054937660694122
16216,packed,factor,concern,2,0,matched_relation_token,898,0.9755011200904846,0.9721603989601135,0.9721603989601135,1.0,0.7108333706855774,0.09416666626930237,729,0.8930041193962097,0.4079175293445587,0.11427607387304306,0.11427607387304306
