seed,layer,token,factor_a,factor_b,projection_overlap,min_angle_deg,mean_angle_deg
16131,3,entity1,identity,concern,0.07283669060353404,71.09412229410557,74.72849635698319
16131,3,entity1,beneficiary,concern,0.1560435265853699,57.45097701858699,69.40040888146568
16131,3,identity_role,identity,beneficiary,0.036275059852933625,75.06693745442269,80.28531014754361
16131,3,identity_role,identity,concern,0.1195435879169633,61.17926610928318,73.24296048855392
16131,3,identity_role,beneficiary,concern,0.3556379652396458,32.529745457956274,60.66566425074298
16131,3,beneficiary_role,identity,beneficiary,0.4171518778222289,40.44862040408718,50.052852630872565
16131,3,beneficiary_role,identity,concern,0.1242182780093047,61.26381602083689,71.85404810959413
16131,3,beneficiary_role,beneficiary,concern,0.03467647963274109,76.84747785164915,79.61447167471354
16131,3,concern_context,identity,beneficiary,0.464259941811932,36.00539106363097,47.21747462215671
16131,3,concern_context,identity,concern,0.3522002104318085,40.850511976833594,54.763423110814855
16131,3,concern_context,beneficiary,concern,0.3834028924907301,30.657137640201313,55.61720839079003
16131,3,query,identity,beneficiary,0.31799816106987183,42.5210271671614,57.393320157079216
16131,3,query,identity,concern,0.06922597264134378,68.15604518201594,78.99497304610438
16131,3,query,beneficiary,concern,0.12180660530688103,62.45735388812838,71.25911113616914
