layer,token,factor_a,factor_b,seed,projection_overlap,min_angle_deg,mean_angle_deg
1,query,beneficiary,concern,16130.0,0.2067475620126378,50.881583887680776,66.87318002287726
1,query,identity,beneficiary,16130.0,0.40484564207187224,33.192656203547166,51.93900374509724
1,query,identity,concern,16130.0,0.07083624649159032,68.82415887759845,76.37671418378847
2,beneficiary_role,beneficiary,concern,16130.0,0.06843591955150029,68.62527261257591,77.4913500357801
2,beneficiary_role,identity,beneficiary,16130.0,0.14691530437743194,60.45692387035749,68.72180307389112
2,beneficiary_role,identity,concern,16130.0,0.05563030905961916,71.03927801318042,78.35705625191082
2,cls,beneficiary,concern,16130.0,0.21650476505529767,48.99807475221636,68.04814185592556
2,cls,identity,beneficiary,16130.0,0.875956720730213,13.345228555431609,19.768356020469927
2,cls,identity,concern,16130.0,0.21212622968922853,49.96167957960116,67.05171481783226
2,concern_context,beneficiary,concern,16130.0,0.28004077271861244,47.85936061479226,59.249220592792
2,concern_context,identity,beneficiary,16130.0,0.8727477758928779,14.1332746277752,20.164974834167552
2,concern_context,identity,concern,16130.0,0.25973813253559497,48.6604179457765,60.94836890748167
2,entity0,beneficiary,concern,16130.0,0.28884216284849046,48.54155135038398,58.31172045674416
2,entity0,identity,beneficiary,16130.0,0.8144295656039919,18.88055316305527,24.97795524285963
2,entity0,identity,concern,16130.0,0.22891566062250462,49.67172328612569,64.14037705438946
2,entity1,beneficiary,concern,16130.0,0.23906870130533947,59.561105604040236,60.74357973656721
2,entity1,identity,beneficiary,16130.0,0.4992276588830074,22.070124564724303,45.063688329407626
2,entity1,identity,concern,16130.0,0.3481029854955966,35.5026386066262,57.480920420143036
2,identity_role,beneficiary,concern,16130.0,0.13768717983336137,58.34926357116485,74.03911646086866
2,identity_role,identity,beneficiary,16130.0,0.08208732770447408,67.79829456439855,74.69420244393831
2,identity_role,identity,concern,16130.0,0.06512830861887627,69.60556937029776,77.10871110367329
2,query,beneficiary,concern,16130.0,0.3565171609739618,32.728423117753245,59.26789259398811
2,query,identity,beneficiary,16130.0,0.45801913825028384,22.177738609291982,49.08862536836127
2,query,identity,concern,16130.0,0.3302145691197989,47.95785907555459,55.27268997718953
3,beneficiary_role,beneficiary,concern,16130.0,0.07690626058919525,67.05914280473226,77.28588393896096
3,beneficiary_role,identity,beneficiary,16130.0,0.12950013439620875,62.212972749477615,70.21709112034232
3,beneficiary_role,identity,concern,16130.0,0.055618741770695077,71.44988073668539,77.85129935661811
3,cls,beneficiary,concern,16130.0,0.2126983663533833,49.37348558624434,68.60228254952324
3,cls,identity,beneficiary,16130.0,0.8689986216051275,13.55015804467541,20.310476740323196
3,cls,identity,concern,16130.0,0.20836020469314004,50.36332423708293,67.34360023071508
3,concern_context,beneficiary,concern,16130.0,0.28410778640633544,47.892023962661696,58.87369689397053
3,concern_context,identity,beneficiary,16130.0,0.8613155148138414,14.16006375897873,20.980304432974766
3,concern_context,identity,concern,16130.0,0.2773969710947936,46.69877177730412,59.90361143629275
3,entity0,beneficiary,concern,16130.0,0.2924275452022398,48.2185789261623,58.08532127401365
3,entity0,identity,beneficiary,16130.0,0.8156437397046931,18.54570565093279,24.84690523274191
3,entity0,identity,concern,16130.0,0.22861226771042314,49.41521444017008,64.39638835494434
3,entity1,beneficiary,concern,16130.0,0.2505616427261462,58.18300495866525,59.99594240181054
3,entity1,identity,beneficiary,16130.0,0.4951248545014857,22.16999617487166,45.405585503306604
3,entity1,identity,concern,16130.0,0.347845454251262,35.77710698302362,57.30659916662104
3,identity_role,beneficiary,concern,16130.0,0.1456757578127337,57.33714014549415,73.41054509564577
3,identity_role,identity,beneficiary,16130.0,0.08331989888473972,67.65204306573791,74.55481088689524
3,identity_role,identity,concern,16130.0,0.06655736952515384,69.58876103116135,76.71845921697941
3,query,beneficiary,concern,16130.0,0.35844505779653413,32.60146564053018,58.86910553926772
3,query,identity,beneficiary,16130.0,0.46098058925018287,22.487087520355725,48.67159679354383
3,query,identity,concern,16130.0,0.3419364341524313,47.688020419811096,54.49046515503892
