seed,factor,layer,phase,patch,conflict_n,follow,policy_change,outcome_change_mae
16151,beneficiary,1,3,phase_only,271,0.2619926333427429,0.25,0.03731120377779007
16151,beneficiary,1,3,own_plus_phase,271,0.9889298677444458,0.5360000133514404,0.039309196174144745
16151,beneficiary,1,3,cross_plus_phase,271,0.254612535238266,0.2460000067949295,0.03708071634173393
16151,beneficiary,1,3,entities_plus_phase,271,0.3099631071090698,0.25200000405311584,0.03654440864920616
16151,beneficiary,1,3,shuffled_own_plus_phase,271,0.2804428040981293,0.6159999966621399,0.1991230547428131
16151,beneficiary,1,3,random_norm_own_plus_phase,271,0.07380073517560959,0.06599999964237213,0.07658874988555908
16151,beneficiary,2,1,own_role,367,0.0,0.0,0.0
16151,beneficiary,2,1,phase_only,367,1.0,0.734000027179718,0.26353785395622253
16151,beneficiary,2,1,own_plus_phase,367,1.0,0.734000027179718,0.26353785395622253
16151,beneficiary,2,1,cross_plus_phase,367,1.0,0.734000027179718,0.26353785395622253
16151,beneficiary,2,1,entities_plus_phase,367,1.0,0.734000027179718,0.26353785395622253
16151,beneficiary,2,1,shuffled_own_plus_phase,367,0.2888283431529999,0.5920000076293945,0.2793393135070801
16151,beneficiary,2,1,random_norm_own_plus_phase,367,0.02179836481809616,0.0560000017285347,0.1991913765668869
16151,beneficiary,2,3,own_role,271,0.0,0.0,0.0
16151,beneficiary,2,3,phase_only,271,1.0,0.5419999957084656,0.03864079341292381
16151,beneficiary,2,3,own_plus_phase,271,1.0,0.5419999957084656,0.03864079341292381
16151,beneficiary,2,3,cross_plus_phase,271,1.0,0.5419999957084656,0.03864079341292381
16151,beneficiary,2,3,entities_plus_phase,271,1.0,0.5419999957084656,0.03864079341292381
16151,beneficiary,2,3,shuffled_own_plus_phase,271,0.22140221297740936,0.7020000219345093,0.3029903769493103
16151,beneficiary,2,3,random_norm_own_plus_phase,271,0.029520295560359955,0.04800000041723251,0.15681055188179016
16151,concern,0,2,own_role,343,1.0,0.6859999895095825,0.27680566906929016
16151,concern,0,2,phase_only,343,0.0,0.0,0.0
16151,concern,0,2,own_plus_phase,343,1.0,0.6859999895095825,0.27680566906929016
16151,concern,0,2,cross_plus_phase,343,0.0,0.0,0.0
16151,concern,0,2,entities_plus_phase,343,0.0,0.0,0.0
16151,concern,0,2,shuffled_own_plus_phase,343,0.4518950581550598,0.3100000023841858,0.12646573781967163
16151,concern,0,2,random_norm_own_plus_phase,343,0.08746355772018433,0.07400000095367432,0.05248891934752464
16151,concern,0,3,own_role,155,1.0,0.3100000023841858,0.28717419505119324
16151,concern,0,3,phase_only,155,0.0,0.0,0.0
16151,concern,0,3,own_plus_phase,155,1.0,0.3100000023841858,0.28717419505119324
16151,concern,0,3,cross_plus_phase,155,0.0,0.0,0.0
16151,concern,0,3,entities_plus_phase,155,0.0,0.0,0.0
16151,concern,0,3,shuffled_own_plus_phase,155,0.5419355034828186,0.1679999977350235,0.1388520449399948
16151,concern,0,3,random_norm_own_plus_phase,155,0.10322580486536026,0.03999999910593033,0.0597788542509079
16151,concern,1,2,own_role,343,1.0,0.6859999895095825,0.27871206402778625
16151,concern,1,2,phase_only,343,0.0,0.0,0.00437323609367013
16151,concern,1,2,own_plus_phase,343,1.0,0.6859999895095825,0.2768082320690155
16151,concern,1,2,cross_plus_phase,343,0.0,0.0,0.004419622477144003
16151,concern,1,2,entities_plus_phase,343,0.0,0.0,0.004413404501974583
16151,concern,1,2,shuffled_own_plus_phase,343,0.40816327929496765,0.5019999742507935,0.2706332504749298
16151,concern,1,2,random_norm_own_plus_phase,343,0.0787172019481659,0.07400000095367432,0.05877131596207619
16151,concern,1,3,own_role,155,0.9935483932495117,0.30799999833106995,0.30106309056282043
16151,concern,1,3,phase_only,155,0.006451612804085016,0.004000000189989805,0.017833929508924484
16151,concern,1,3,own_plus_phase,155,1.0,0.3100000023841858,0.28778234124183655
16151,concern,1,3,cross_plus_phase,155,0.006451612804085016,0.004000000189989805,0.017860474064946175
16151,concern,1,3,entities_plus_phase,155,0.006451612804085016,0.004000000189989805,0.017776021733880043
16151,concern,1,3,shuffled_own_plus_phase,155,0.3032258152961731,0.6200000047683716,0.27402642369270325
16151,concern,1,3,random_norm_own_plus_phase,155,0.03870967775583267,0.017999999225139618,0.05190439894795418
16151,concern,2,2,own_role,343,0.0,0.0,0.0
16151,concern,2,2,phase_only,343,1.0,0.6859999895095825,0.27680566906929016
16151,concern,2,2,own_plus_phase,343,1.0,0.6859999895095825,0.27680566906929016
16151,concern,2,2,cross_plus_phase,343,1.0,0.6859999895095825,0.27680566906929016
16151,concern,2,2,entities_plus_phase,343,1.0,0.6859999895095825,0.27680566906929016
16151,concern,2,2,shuffled_own_plus_phase,343,0.43440234661102295,0.5360000133514404,0.29842519760131836
16151,concern,2,2,random_norm_own_plus_phase,343,0.026239067316055298,0.04399999976158142,0.1408596783876419
16151,concern,2,3,own_role,155,0.0,0.0,0.0
16151,concern,2,3,phase_only,155,1.0,0.3100000023841858,0.28717419505119324
16151,concern,2,3,own_plus_phase,155,1.0,0.3100000023841858,0.28717419505119324
16151,concern,2,3,cross_plus_phase,155,1.0,0.3100000023841858,0.28717419505119324
16151,concern,2,3,entities_plus_phase,155,1.0,0.3100000023841858,0.28717419505119324
16151,concern,2,3,shuffled_own_plus_phase,155,0.28387096524238586,0.7179999947547913,0.2920963764190674
16151,concern,2,3,random_norm_own_plus_phase,155,0.06451612710952759,0.03400000184774399,0.10197277367115021
16152,identity,0,0,own_role,377,1.0,0.7540000081062317,0.48643574118614197
16152,identity,0,0,phase_only,377,0.0,0.0,0.0
16152,identity,0,0,own_plus_phase,377,1.0,0.7540000081062317,0.48643574118614197
16152,identity,0,0,cross_plus_phase,377,0.0,0.0,0.0
16152,identity,0,0,entities_plus_phase,377,0.0,0.0,0.0
16152,identity,0,0,shuffled_own_plus_phase,377,0.48806366324424744,0.3720000088214874,0.2438134402036667
16152,identity,0,0,random_norm_own_plus_phase,377,0.12997347116470337,0.11999999731779099,0.08120036870241165
16152,identity,0,3,own_role,233,1.0,0.4659999907016754,0.05340227484703064
16152,identity,0,3,phase_only,233,0.0,0.0,0.0
16152,identity,0,3,own_plus_phase,233,1.0,0.4659999907016754,0.05340227484703064
16152,identity,0,3,cross_plus_phase,233,0.0,0.0,0.0
16152,identity,0,3,entities_plus_phase,233,0.0,0.0,0.0
16152,identity,0,3,shuffled_own_plus_phase,233,0.4935622215270996,0.25,0.042107414454221725
16152,identity,0,3,random_norm_own_plus_phase,233,0.270386278629303,0.14399999380111694,0.041937604546546936
16152,identity,1,0,own_role,377,0.0,0.0,0.004305832087993622
16152,identity,1,0,phase_only,377,1.0,0.7540000081062317,0.48441192507743835
16152,identity,1,0,own_plus_phase,377,1.0,0.7540000081062317,0.48500800132751465
16152,identity,1,0,cross_plus_phase,377,0.9973474740982056,0.7519999742507935,0.4840176999568939
16152,identity,1,0,entities_plus_phase,377,1.0,0.7540000081062317,0.484369158744812
16152,identity,1,0,shuffled_own_plus_phase,377,0.34217506647109985,0.6299999952316284,0.4086109697818756
16152,identity,1,0,random_norm_own_plus_phase,377,0.02652519941329956,0.07999999821186066,0.11237241327762604
16152,identity,1,3,own_role,233,0.0,0.0,0.010726803913712502
16152,identity,1,3,phase_only,233,0.991416335105896,0.46399998664855957,0.05341191962361336
16152,identity,1,3,own_plus_phase,233,1.0,0.4659999907016754,0.05329477787017822
16152,identity,1,3,cross_plus_phase,233,0.995708167552948,0.4659999907016754,0.053679052740335464
16152,identity,1,3,entities_plus_phase,233,0.991416335105896,0.4659999907016754,0.05345943197607994
16152,identity,1,3,shuffled_own_plus_phase,233,0.42918455600738525,0.46399998664855957,0.16736727952957153
16152,identity,1,3,random_norm_own_plus_phase,233,0.017167381942272186,0.04600000008940697,0.09387081116437912
16152,identity,2,0,own_role,377,0.0,0.0,0.0
16152,identity,2,0,phase_only,377,1.0,0.7540000081062317,0.48643574118614197
16152,identity,2,0,own_plus_phase,377,1.0,0.7540000081062317,0.48643574118614197
16152,identity,2,0,cross_plus_phase,377,1.0,0.7540000081062317,0.48643574118614197
16152,identity,2,0,entities_plus_phase,377,1.0,0.7540000081062317,0.48643574118614197
16152,identity,2,0,shuffled_own_plus_phase,377,0.3448275923728943,0.6439999938011169,0.5083913207054138
16152,identity,2,0,random_norm_own_plus_phase,377,0.005305039696395397,0.02199999988079071,0.11717253923416138
16152,identity,2,3,own_role,233,0.0,0.0,0.0
16152,identity,2,3,phase_only,233,1.0,0.4659999907016754,0.05340227484703064
16152,identity,2,3,own_plus_phase,233,1.0,0.4659999907016754,0.05340227484703064
16152,identity,2,3,cross_plus_phase,233,1.0,0.4659999907016754,0.05340227484703064
16152,identity,2,3,entities_plus_phase,233,1.0,0.4659999907016754,0.05340227484703064
16152,identity,2,3,shuffled_own_plus_phase,233,0.2660944163799286,0.7440000176429749,0.29153284430503845
16152,identity,2,3,random_norm_own_plus_phase,233,0.021459227427840233,0.019999999552965164,0.11019938439130783
16152,beneficiary,0,1,own_role,388,1.0,0.7760000228881836,0.2687949240207672
16152,beneficiary,0,1,phase_only,388,0.0,0.0,0.0
16152,beneficiary,0,1,own_plus_phase,388,1.0,0.7760000228881836,0.2687949240207672
16152,beneficiary,0,1,cross_plus_phase,388,0.0,0.0,0.0
16152,beneficiary,0,1,entities_plus_phase,388,0.0,0.0,0.0
16152,beneficiary,0,1,shuffled_own_plus_phase,388,0.5412371158599854,0.4320000112056732,0.16001489758491516
16152,beneficiary,0,1,random_norm_own_plus_phase,388,0.21391752362251282,0.22599999606609344,0.11676042526960373
16152,beneficiary,0,3,own_role,277,1.0,0.5540000200271606,0.055693529546260834
16152,beneficiary,0,3,phase_only,277,0.0,0.0,0.0
16152,beneficiary,0,3,own_plus_phase,277,1.0,0.5540000200271606,0.055693529546260834
16152,beneficiary,0,3,cross_plus_phase,277,0.0,0.0,0.0
16152,beneficiary,0,3,entities_plus_phase,277,0.0,0.0,0.0
16152,beneficiary,0,3,shuffled_own_plus_phase,277,0.5018050670623779,0.2919999957084656,0.041889794170856476
16152,beneficiary,0,3,random_norm_own_plus_phase,277,0.1696750968694687,0.12800000607967377,0.042403120547533035
16152,beneficiary,1,1,own_role,388,0.3479381501674652,0.27799999713897705,0.12284393608570099
16152,beneficiary,1,1,phase_only,388,0.6082473993301392,0.4740000069141388,0.18084010481834412
