factor,layer,phase,patch,mean_follow,min_follow,max_follow,mean_policy_change,mean_outcome_change,total_conflicts
concern,0,3,own_plus_phase,1.0,1.0,1.0,0.28733332951863605,0.2920029064019521,431
concern,0,3,own_role,1.0,1.0,1.0,0.28733332951863605,0.2920029064019521,431
concern,0,3,phase_only,0.0,0.0,0.0,0.0,0.0,431
concern,0,3,random_norm_own_plus_phase,0.04167286322141687,0.007194244768470526,0.10322580486536026,0.015999999751026433,0.04155062697827816,431
concern,0,3,shuffled_own_plus_phase,0.5068717896938324,0.46043166518211365,0.5419355034828186,0.14600000282128653,0.14216305812199911,431
concern,1,2,cross_plus_phase,0.3064829328407844,0.0,0.8945869207382202,0.22933333987991014,0.11015768457824986,1056
concern,1,2,entities_plus_phase,0.3064829328407844,0.0,0.8945869207382202,0.22933333987991014,0.1107313126946489,1056
concern,1,2,own_plus_phase,1.0,1.0,1.0,0.7039999961853027,0.2960830231507619,1056
concern,1,2,own_role,0.6863814443349838,0.12820513546466827,1.0,0.49933333694934845,0.2136297511557738,1056
concern,1,2,phase_only,0.3064829328407844,0.0,0.8945869207382202,0.22933333987991014,0.11014199334507187,1056
concern,1,2,random_norm_own_plus_phase,0.04580694188674291,0.022792022675275803,0.0787172019481659,0.04200000067551931,0.06720813363790512,1056
concern,1,2,shuffled_own_plus_phase,0.4176046351591746,0.40816327929496765,0.43304842710494995,0.4559999903043111,0.24339479207992554,1056
concern,1,3,cross_plus_phase,0.3377769330206017,0.006451612804085016,0.9781022071838379,0.0940000022140642,0.1047086026519537,431
concern,1,3,entities_plus_phase,0.3353438316844404,0.006451612804085016,0.970802903175354,0.09266666773085792,0.10459592534850042,431
concern,1,3,own_plus_phase,1.0,1.0,1.0,0.28733332951863605,0.29275991519292194,431
concern,1,3,own_role,0.6670192337284485,0.021897809579968452,0.9935483932495117,0.19599999580532312,0.20469713676720858,431
concern,1,3,phase_only,0.3377769330206017,0.006451612804085016,0.9781022071838379,0.09333333574856321,0.1046317694708705,431
concern,1,3,random_norm_own_plus_phase,0.012903225918610891,0.0,0.03870967775583267,0.022666666346291702,0.06389132514595985,431
concern,1,3,shuffled_own_plus_phase,0.39824482798576355,0.3032258152961731,0.45985400676727295,0.48200000325838727,0.23579111695289612,431
concern,2,2,cross_plus_phase,1.0,1.0,1.0,0.7039999961853027,0.29598859945933026,1056
concern,2,2,entities_plus_phase,1.0,1.0,1.0,0.7039999961853027,0.29598859945933026,1056
concern,2,2,own_plus_phase,1.0,1.0,1.0,0.7039999961853027,0.29598859945933026,1056
concern,2,2,own_role,0.0,0.0,0.0,0.0,0.0,1056
concern,2,2,phase_only,1.0,1.0,1.0,0.7039999961853027,0.29598859945933026,1056
concern,2,2,random_norm_own_plus_phase,0.0161128385613362,0.0,0.026239067316055298,0.027333333157002926,0.14072324832280478,1056
concern,2,2,shuffled_own_plus_phase,0.3888837198416392,0.3618784546852112,0.43440234661102295,0.5473333398501078,0.3077659110228221,1056
concern,2,3,cross_plus_phase,1.0,1.0,1.0,0.28733332951863605,0.2920029064019521,431
concern,2,3,entities_plus_phase,1.0,1.0,1.0,0.28733332951863605,0.2920029064019521,431
concern,2,3,own_plus_phase,1.0,1.0,1.0,0.28733332951863605,0.2920029064019521,431
concern,2,3,own_role,0.0,0.0,0.0,0.0,0.0,431
concern,2,3,phase_only,1.0,1.0,1.0,0.28733332951863605,0.2920029064019521,431
concern,2,3,random_norm_own_plus_phase,0.0335658003265659,0.014598540030419827,0.06451612710952759,0.020000000794728596,0.10192193339268367,431
concern,2,3,shuffled_own_plus_phase,0.28787051637967426,0.28387096524238586,0.29197078943252563,0.7166666587193807,0.2966754933198293,431
identity,0,0,cross_plus_phase,0.0,0.0,0.0,0.0,0.0,1141
identity,0,0,entities_plus_phase,0.0,0.0,0.0,0.0,0.0,1141
identity,0,0,own_plus_phase,1.0,1.0,1.0,0.7606666684150696,0.4901593128840129,1141
identity,0,0,own_role,1.0,1.0,1.0,0.7606666684150696,0.4901593128840129,1141
identity,0,0,phase_only,0.0,0.0,0.0,0.0,0.0,1141
identity,0,0,random_norm_own_plus_phase,0.06423092385133107,0.021052632480859756,0.12997347116470337,0.059333331882953644,0.04988793966670831,1141
