seed,factor,phase,patch,conflict_n,policy_follow,policy_change,outcome_diff_n,outcome_closer_cf,outcome_mediation,model_output_shift,cf_model_gap
16160,beneficiary,1,role_phase,372,0.0,0.0,353,0.4900849759578705,-0.0009323480189777911,0.004968488123267889,0.22697541117668152
16160,beneficiary,1,entities_phase,372,1.0,0.7440000176429749,353,0.9631727933883667,0.6295572519302368,0.22646041214466095,0.22697541117668152
16160,beneficiary,1,full_relation_coalition,372,1.0,0.7440000176429749,353,0.9603399634361267,0.6305868029594421,0.2269190400838852,0.22697541117668152
16160,beneficiary,1,shuffled_full,372,0.3198924660682678,0.5860000252723694,353,0.40793201327323914,-0.6204273700714111,0.3471126854419708,0.22697541117668152
16160,beneficiary,1,random_norm_full,372,0.04032257944345474,0.0560000017285347,353,0.5269121527671814,-0.006697925738990307,0.07139787077903748,0.22697541117668152
16160,beneficiary,3,role_only,276,0.0,0.0,0,,,0.0010389441158622503,0.0696963369846344
16160,beneficiary,3,entities_only,276,1.0,0.5519999861717224,0,,,0.0701364204287529,0.0696963369846344
16160,beneficiary,3,phase_only,276,0.0,0.0,0,,,0.002013592282310128,0.0696963369846344
16160,beneficiary,3,role_phase,276,0.0,0.0,0,,,0.002308692317456007,0.0696963369846344
16160,beneficiary,3,entities_phase,276,1.0,0.5519999861717224,0,,,0.07027393579483032,0.0696963369846344
16160,beneficiary,3,full_relation_coalition,276,1.0,0.5540000200271606,0,,,0.0703006163239479,0.0696963369846344
16160,beneficiary,3,shuffled_full,276,0.2753623127937317,0.7260000109672546,0,,,0.2810874283313751,0.0696963369846344
16160,beneficiary,3,random_norm_full,276,0.039855074137449265,0.07000000029802322,0,,,0.07078936696052551,0.0696963369846344
16160,concern,2,role_only,378,0.7777777910232544,0.6600000262260437,361,0.9279778599739075,0.5889942646026611,0.25319159030914307,0.26151037216186523
16160,concern,2,entities_only,378,0.0026455025654286146,0.0020000000949949026,361,0.6011080145835876,-0.0029878828208893538,0.001998211955651641,0.26151037216186523
16160,concern,2,phase_only,378,0.15079365670681,0.164000004529953,361,0.6759002804756165,0.06755077838897705,0.061487480998039246,0.26151037216186523
16160,concern,2,role_phase,378,0.9973545074462891,0.7559999823570251,361,0.9667590260505676,0.7631081938743591,0.26346442103385925,0.26151037216186523
16160,concern,2,entities_phase,378,0.15079365670681,0.164000004529953,361,0.6814404726028442,0.06895454972982407,0.061338160187006,0.26151037216186523
16160,concern,2,full_relation_coalition,378,0.9973545074462891,0.7559999823570251,361,0.9695290923118591,0.7616896629333496,0.26387128233909607,0.26151037216186523
16160,concern,2,shuffled_full,378,0.37037035822868347,0.5820000171661377,361,0.5650969743728638,-0.34603187441825867,0.32665392756462097,0.26151037216186523
16160,concern,2,random_norm_full,378,0.018518518656492233,0.035999998450279236,361,0.559556782245636,-0.09616678208112717,0.061493828892707825,0.26151037216186523
16160,concern,3,role_only,140,0.949999988079071,0.26600000262260437,361,0.9196676015853882,0.578403115272522,0.23169872164726257,0.24529266357421875
16160,concern,3,entities_only,140,0.0,0.0,361,0.554016649723053,0.0004799410526175052,0.0025028923992067575,0.24529266357421875
16160,concern,3,phase_only,140,0.05714285746216774,0.017999999225139618,361,0.7368420958518982,0.04771101474761963,0.032863739877939224,0.24529266357421875
16160,concern,3,role_phase,140,1.0,0.2800000011920929,361,0.930747926235199,0.6232290267944336,0.2444898635149002,0.24529266357421875
