factor,phase,patch,mean_policy_follow,min_policy_follow,max_policy_follow,mean_policy_change,mean_outcome_closer_cf,mean_outcome_mediation,mean_model_output_shift,total_conflicts,total_outcome_diff
identity,0,full_relation_coalition,0.9994680881500244,0.9973404407501221,1.0,0.7508000016212464,1.0,0.9521496772766114,0.47058804631233214,1878,1878
identity,0,phase_only,0.0,0.0,0.0,0.0,0.5125897943973541,-5.0252191795152615e-05,0.0011987301055341958,1878,1878
identity,0,random_norm_full,0.027388995233923196,0.005319148767739534,0.07547169923782349,0.03599999919533729,0.6200850367546081,0.042396772839128974,0.044910342618823054,1878,1878
identity,0,role_only,0.002156334184110165,0.0,0.010781670920550823,0.001600000075995922,0.5695831120014191,0.007254621785250492,0.00793029044289142,1878,1878
identity,0,role_phase,0.002156334184110165,0.0,0.010781670920550823,0.001600000075995922,0.5512023329734802,0.0072569786157146154,0.008702323655597866,1878,1878
identity,0,shuffled_full,0.36126536726951597,0.3396226465702057,0.39944905042648315,0.6243999838829041,0.6544938087463379,0.25107639729976655,0.4027480483055115,1878,1878
identity,3,entities_only,0.76417555809021,0.3862660825252533,1.0,0.3712000042200089,,,0.06976883783936501,1150,0
identity,3,entities_phase,0.76417555809021,0.3862660825252533,1.0,0.3712000042200089,,,0.06988872885704041,1150,0
identity,3,full_relation_coalition,0.9463554739952087,0.852173924446106,1.0,0.44160000085830686,,,0.06757017374038696,1150,0
identity,3,phase_only,0.0,0.0,0.0,0.000800000037997961,,,0.0028143920004367828,1150,0
identity,3,random_norm_full,0.06614363752305508,0.021645022556185722,0.13913042843341827,0.0516000010073185,,,0.054285573214292525,1150,0
identity,3,role_only,0.11405885592103004,0.0,0.28326180577278137,0.06440000045113266,,,0.020370390685275196,1150,0
identity,3,role_phase,0.11320048347115516,0.0,0.278969943523407,0.06360000181011856,,,0.021492412080988288,1150,0
identity,3,shuffled_full,0.2810383319854736,0.2446351945400238,0.3171806037425995,0.7123999953269958,,,0.3054358422756195,1150,0
