factor,phase,patch,mean_policy_follow,min_policy_follow,max_policy_follow,mean_policy_change,mean_outcome_closer_cf,mean_outcome_mediation,mean_model_output_shift,total_conflicts,total_outcome_diff
concern,3,entities_phase,0.5523372307419777,0.0,1.0,0.16480000163428485,0.7712778508663177,0.32953074635006485,0.12773337285034359,686,1844
concern,3,full_relation_coalition,0.981428575515747,0.9166666865348816,1.0,0.2704000025987625,0.9602903604507447,0.6636250019073486,0.23146784603595733,686,1844
concern,3,phase_only,0.5495594516396523,0.0,1.0,0.16320000141859053,0.7543673276901245,0.3213458965532482,0.12912644520401956,686,1844
concern,3,random_norm_full,0.0431964173913002,0.02158273383975029,0.05673758685588837,0.03399999998509884,0.49847198128700254,-0.12207323350012303,0.08947234749794006,686,1844
concern,3,role_only,0.3819088079035282,0.0,1.0,0.09720000210218131,0.8087418437004089,0.30552909495308994,0.11001911649946124,686,1844
concern,3,role_phase,0.9753571391105652,0.8958333134651184,1.0,0.2688000023365021,0.9576208233833313,0.6610480546951294,0.23097742795944215,686,1844
concern,3,shuffled_full,0.2771155178546906,0.22857142984867096,0.35668790340423584,0.6800000071525574,0.44128857254981996,-0.8264315724372864,0.32654926776885984,686,1844
identity,0,entities_only,0.5918876111507416,0.0,1.0,0.4664000034332275,0.8755294859409333,0.5959400271662162,0.3188992427662015,1893,1896
identity,0,entities_phase,0.683695650100708,0.0,1.0,0.5187999963760376,0.8837821245193481,0.6640097540512215,0.34921823216136544,1893,1896
identity,0,full_relation_coalition,0.9989743590354919,0.9948717951774597,1.0,0.7567999958992004,1.0,0.9572681069374085,0.48081061244010925,1893,1896
identity,0,phase_only,0.07301502749323845,0.0,0.24202127754688263,0.07040000110864639,0.6544967889785767,0.07127948654524516,0.0378638754657004,1893,1896
identity,0,random_norm_full,0.018477438017725945,0.015915120020508766,0.021276595070958138,0.02360000051558018,0.6743414402008057,0.03944794312119484,0.04293769933283329,1893,1896
identity,0,role_only,0.311956524848938,0.0,1.0,0.2403999984264374,0.7262202501296997,0.28792913026045425,0.13493637050269172,1893,1896
identity,0,role_phase,0.38547751009464265,0.0,1.0,0.31559999734163285,0.8464235305786133,0.353963662777096,0.16973116123117507,1893,1896
identity,0,shuffled_full,0.34486538767814634,0.33695653080940247,0.3664921522140503,0.6416000008583069,0.684665584564209,0.29144070446491244,0.3850405514240265,1893,1896
identity,3,entities_only,0.5373060703277588,0.0,0.9957627058029175,0.28480000197887423,,,0.039460676815360786,1175,0
identity,3,entities_phase,0.5398059844970703,0.0,0.9957627058029175,0.28560000360012056,,,0.03952319184318185,1175,0
identity,3,full_relation_coalition,0.7473977386951447,0.3438914120197296,1.0,0.38120000064373016,,,0.047382493317127225,1175,0
